Rk,Player,Age,Pos,MP,TRB,AST,STL,BLK,TOV,PTS,Player-additional
474,Tyler Smith,20,PF,122,7.4,1.2,0.9,1.2,2.4,19.8,smithty02
475,Jeremy Sochan,21,PF,1364,9.3,3.4,1.2,0.7,2.2,16.3,sochaje01
476,Cam Spencer,24,SG,252,4.3,4.9,1.3,0.1,0.9,15.1,spencca01
477,Pat Spencer,28,PG,250,6.6,6.9,2.0,0.4,2.6,14.1,spencpa01
478,Jaden Springer,22,PG,365,5.7,3.3,2.4,0.4,1.6,10.8,sprinja01
479,Isaiah Stevens,24,PG,6,12.0,0.0,6.0,0.0,0.0,0.0,steveis01
480,Lamar Stevens,27,PF,155,8.8,1.9,1.2,0.7,2.3,17.2,stevela01
481,Isaiah Stewart,23,C,1434,10.0,3.1,0.7,2.5,1.7,10.9,stewais01
482,Julian Strawther,22,SG,1384,3.7,2.2,1.0,0.4,1.5,15.3,strawju01
483,Max Strus,28,SF,1273,6.1,4.5,0.7,0.3,1.5,13.3,strusma01
484,Jalen Suggs,23,PG,1002,5.1,4.6,1.8,1.2,3.7,20.4,suggsja01
485,Cole Swider,25,SF,169,5.8,0.6,0.9,0.4,0.9,12.6,swideco01
486,Jae'Sean Tate,29,SF,588,7.2,2.9,1.6,0.4,1.3,11.5,tateja01
487,Jayson Tatum,26,PF,2624,8.5,5.9,1.0,0.5,2.9,26.5,tatumja01
488,Terry Taylor,25,PF,6,6.0,12.0,0.0,0.0,0.0,0.0,taylote01
489,Garrett Temple,38,SG,227,4.6,4.9,2.7,0.3,1.6,8.4,templga01
490,Dalen Terry,22,SG,987,4.5,3.5,1.6,0.5,1.9,11.9,terryda01
491,Daniel Theis,32,C,621,9.5,3.5,1.0,1.2,1.4,9.4,theisda01
492,Cam Thomas,23,SG,781,3.8,4.3,0.7,0.1,2.9,27.6,thomaca02
493,Amen Thompson,22,SF,2225,9.1,4.3,1.6,1.4,2.2,15.7,thompam01
494,Ausar Thompson,22,SF,1328,8.2,3.6,2.7,1.1,2.2,16.1,thompau01
495,Klay Thompson,34,SF,1965,4.5,2.7,0.9,0.5,1.6,18.4,thompkl01
496,Tristan Thompson,33,C,328,14.7,2.6,0.2,1.2,1.5,7.6,thomptr01
497,JT Thor,22,PF,249,6.9,0.9,1.2,1.3,1.3,10.3,thorjt01
498,Matisse Thybulle,27,SG,312,6.0,3.2,3.8,1.0,1.5,12.9,thybuma01
499,Xavier Tillman Sr.,26,C,231,6.7,1.1,1.7,0.8,2.2,5.3,tillmxa01
500,Drew Timme,24,PF,254,9.2,2.8,0.6,0.1,2.1,15.4,timmedr01
501,Nae'Qwan Tomlin,24,PF,63,12.0,1.1,0.0,0.6,1.1,20.6,tomlina01
502,Jacob Toppin,24,SF,76,7.1,2.8,0.9,0.0,1.4,10.9,toppija01
503,Obi Toppin,26,PF,1545,7.4,3.0,1.1,0.7,1.6,19.4,toppiob01
504,Karl-Anthony Towns,29,C,2517,13.2,3.2,1.0,0.7,2.7,25.2,townska01
505,Armel Traore,22,SF,67,8.1,0.5,2.1,1.1,1.6,7.5,armeltr01
506,Luke Travers,23,SG,88,8.2,3.3,0.4,0.4,3.3,4.9,travelu01
507,Gary Trent Jr.,26,SG,1893,3.2,1.7,1.4,0.1,0.8,15.7,trentga02
508,Oscar Tshiebwe,25,C,255,17.2,1.3,1.8,0.1,1.4,15.1,tshieos01
509,P.J. Tucker,39,SF,58,5.0,0.0,0.6,0.6,0.6,5.6,tuckepj01
510,Myles Turner,28,C,2174,7.8,1.8,0.9,2.4,2.0,18.5,turnemy01
511,Hunter Tyson,24,PF,400,7.0,1.8,0.9,0.5,1.3,12.1,tysonhu01
512,Jaylon Tyson,22,SG,453,7.6,3.5,1.0,0.2,2.1,13.3,tysonja01
513,Stanley Umude,25,SG,86,7.1,1.7,1.3,2.5,1.3,6.3,umudest01
514,Jonas Valanciunas,32,C,1524,14.8,3.9,0.9,1.1,2.8,19.9,valanjo01
515,Jarred Vanderbilt,25,PF,581,11.3,2.5,2.2,0.6,1.8,9.1,vandeja01
516,Fred VanVleet,30,PG,2111,3.8,5.7,1.6,0.4,1.5,14.4,vanvlfr01
517,Devin Vassell,24,SG,1983,4.6,3.3,1.5,0.6,1.6,18.9,vassede01
518,Gabe Vincent,28,PG,1527,2.2,2.3,1.2,0.3,1.0,10.8,vincega01
519,Nikola Vucevic,34,C,2278,11.6,4.0,1.0,0.8,1.9,21.3,vucevni01
520,Tristan Vukcevic,21,C,513,9.1,2.7,0.8,1.6,2.9,23.2,vukcetr01
521,Dean Wade,28,PF,1252,7.2,2.2,1.2,0.6,0.6,9.2,wadede01
522,Franz Wagner,23,SF,2023,6.1,5.1,1.3,0.4,2.5,25.8,wagnefr01
523,Moritz Wagner,27,C,564,9.4,2.7,1.5,0.8,3.1,24.6,wagnemo01
524,Jabari Walker,22,PF,749,10.1,1.8,1.6,0.3,1.6,15.0,walkeja01
525,Jarace Walker,21,PF,1187,6.9,3.3,1.6,0.8,2.4,14.0,walkeja02
526,Lonnie Walker IV,26,SG,477,4.8,3.8,0.8,0.4,1.9,18.6,walkelo01
527,Cason Wallace,21,SG,1876,4.4,3.3,2.3,0.7,1.1,10.9,wallaca01
528,Keaton Wallace,25,PG,501,3.6,5.8,2.0,0.6,2.4,12.1,wallake01
529,Jordan Walsh,20,PF,403,6.2,1.7,1.1,1.0,1.5,7.3,walshjo01
530,Ja'Kobe Walter,20,SG,1103,5.2,2.6,1.4,0.3,1.6,14.7,walteja01
531,Kel'el Ware,20,C,1422,12.0,1.5,1.0,1.8,1.4,15.1,wareke01
532,P.J. Washington,26,PF,1835,8.7,2.6,1.2,1.2,2.3,16.4,washipj01
533,TyTy Washington Jr.,23,PG,118,4.0,4.9,0.9,0.0,0.9,10.7,washity02
534,Lindy Waters III,27,SG,778,5.1,2.4,1.2,0.5,0.9,11.8,waterli01
535,Trendon Watford,24,PF,913,6.3,4.5,1.1,0.5,3.3,17.7,watfotr01
536,Anton Watson,24,SF,22,4.9,3.3,1.6,0.0,3.3,13.1,watsoan02
537,Peyton Watson,22,SF,1656,5.1,2.0,1.0,2.0,1.2,12.0,watsope01
538,Jaylen Wells,21,SG,2043,4.7,2.4,0.8,0.1,1.2,14.5,wellsja01
539,Victor Wembanyama,21,C,1527,11.9,4.0,1.2,4.1,3.5,26.3,wembavi01
540,Blake Wesley,21,SG,683,3.2,6.0,2.0,0.3,2.8,11.4,weslebl01
541,Russell Westbrook,36,PG,2092,6.4,7.9,1.8,0.6,4.2,17.1,westbru01
542,Phillip Wheeler,22,PF,44,6.5,1.6,0.8,1.6,0.8,6.5,wheelph02
543,Coby White,24,SG,2450,4.0,4.8,1.0,0.2,2.6,22.2,whiteco01
544,Derrick White,30,SG,2574,4.8,5.0,1.0,1.1,1.8,17.5,whitede01
545,Cam Whitmore,20,SF,827,6.6,2.1,1.3,0.6,2.0,20.8,whitmca01
546,Aaron Wiggins,26,SG,1744,6.1,2.8,1.2,0.4,1.4,18.9,wiggiaa01
